Race : 2113
{place=1, name='Vars A Wayzata', school='Wayzata', grade=12, gender='F', time=836.5}
{place=2, name='Vars A Edina', school='Edina', grade=12, gender='F', time=857.6}
{place=3, name='Vars C Hopkins', school='Hopkins', grade=12, gender='F', time=915.6}
{place=4, name='Vars A Hopkins', school='Hopkins', grade=12, gender='F', time=924.8}
{place=5, name='Vars C Edina', school='Edina', grade=12, gender='F', time=939.5}
{place=6, name='Vars C Eden Pr', school='Eden Prairie', grade=12, gender='F', time=941.5}
{place=7, name='Vars E Edina', school='Edina', grade=12, gender='F', time=954.1}
{place=8, name='Vars B Wayzata', school='Wayzata', grade=12, gender='F', time=985.3}
{place=9, name='Vars E Wayzata', school='Wayzata', grade=12, gender='F', time=1006.2}
{place=10, name='Vars C Wayzata', school='Wayzata', grade=12, gender='F', time=1026.6}
{place=11, name='Vars A Eden Pr', school='Eden Prairie', grade=12, gender='F', time=1009.2}
{place=12, name='Vars E Eden Pr', school='Eden Prairie', grade=12, gender='F', time=1010.1}
{place=13, name='Vars C Tonka', school='Minnetonka', grade=12, gender='F', time=1049.8}
{place=14, name='Vars D Wayzata', school='Wayzata', grade=12, gender='F', time=1058.5}
{place=15, name='Vars D Eden Pr', school='Eden Prairie', grade=12, gender='F', time=1094.9}
{place=16, name='Vars B Edina', school='Edina', grade=12, gender='F', time=1096.4}
{place=17, name='Vars F Wayzata', school='Wayzata', grade=12, gender='F', time=1097.2}
{place=18, name='Vars A Tonka', school='Minnetonka', grade=12, gender='F', time=1105.8}
{place=19, name='Vars E Hopkins', school='Hopkins', grade=12, gender='F', time=1118.4}
{place=20, name='Vars B Eden Pr', school='Eden Prairie', grade=12, gender='F', time=1158.3}
{place=21, name='Vars F Edina', school='Edina', grade=12, gender='F', time=1137.2}
{place=22, name='Vars E Tonka', school='Minnetonka', grade=12, gender='F', time=1149.9}
{place=23, name='Vars F Eden Pr', school='Eden Prairie', grade=12, gender='F', time=1165.1}
{place=24, name='Vars D Hopkins', school='Hopkins', grade=12, gender='F', time=1212.5}
{place=25, name='Vars B Tonka', school='Minnetonka', grade=12, gender='F', time=1214.4}
{place=26, name='Vars D Edina', school='Edina', grade=12, gender='F', time=1228.3}
{place=27, name='Vars B Hopkins', school='Hopkins', grade=12, gender='F', time=1249.3}
{place=28, name='Vars D Tonka', school='Minnetonka', grade=12, gender='F', time=1263.5}
{place=29, name='Vars F Tonka', school='Minnetonka', grade=12, gender='F', time=1366.6}
{place=30, name='Vars F Hopkins', school='Hopkins', grade=12, gender='F', time=1411.6}
