Race : 244
{place=1, name='Richfield Boys C', school='Richfield', grade=12, gender='M', time=1260.13}
{place=2, name='SW3 Boys', school='Minneapolis Southwest', grade=12, gender='M', time=1271.36}
{place=3, name='South2 Boys', school='Minneapolis South', grade=12, gender='M', time=1302.72}
{place=4, name='SW5 Boys', school='Minneapolis Southwest', grade=12, gender='M', time=1374.19}
{place=5, name='Washburn1 Boys', school='Washburn', grade=12, gender='M', time=1417.37}
{place=6, name='SW6 Boys', school='Minneapolis Southwest', grade=12, gender='M', time=1418.04}
{place=7, name='MSA2 Boys', school='Math & Science Academy', grade=12, gender='M', time=1421.64}
{place=8, name='MSA1 Boys', school='Math & Science Academy', grade=12, gender='M', time=1494.24}
{place=9, name='South1 Boys', school='Minneapolis South', grade=12, gender='M', time=1512.67}
{place=10, name='Washburn2 Boys', school='Washburn', grade=12, gender='M', time=1532.66}
{place=11, name='Richfield Boys A', school='Richfield', grade=12, gender='M', time=1535.17}
{place=12, name='South10 Boys', school='Minneapolis South', grade=12, gender='M', time=1539.32}
{place=13, name='Richfield Boys B', school='Richfield', grade=12, gender='M', time=1585.97}
{place=14, name='South11 Boys', school='Minneapolis South', grade=12, gender='M', time=1596.31}
{place=15, name='MSA3 Boys', school='Math & Science Academy', grade=10, gender='M', time=1649.87}
{place=16, name='SW7 Boys', school='Minneapolis Southwest', grade=12, gender='M', time=1669.72}
{place=17, name='South3 Boys', school='Minneapolis South', grade=12, gender='M', time=1746.27}
